x,N2249,x,N2249,x,N2249,x,N2249,x,N2249,x,N2249
0.74163,0.0508895,0.783128,0.0535282,0.75911,0.0520557,0.842333,0.323912,0.843045,0.324193,0.858856,0.328035
0.74663,0.0512051,0.788128,0.0538486,0.76411,0.0523786,0.847333,0.325233,0.848046,0.325508,0.863856,0.329374
0.75163,0.051522,0.793128,0.0541684,0.76911,0.0527013,0.852334,0.326554,0.853046,0.326823,0.868857,0.330714
0.75663,0.05184,0.798128,0.0544884,0.77411,0.0530237,0.857334,0.327876,0.858047,0.328138,0.873857,0.332055
0.76163,0.0521589,0.803128,0.0548079,0.77911,0.0533462,0.862335,0.329198,0.863047,0.329453,0.878857,0.333396
0.76663,0.0524787,0.808128,0.0551269,0.78411,0.0536682,0.867335,0.33052,0.868047,0.330769,0.883857,0.334738
0.77163,0.0527984,0.813128,0.0554464,0.78911,0.0539893,0.872336,0.331843,0.873048,0.332085,0.888857,0.336081
0.77663,0.053118,0.818128,0.0557641,0.79411,0.0543063,0.877336,0.333166,0.878048,0.3334,0.893857,0.337424
0.78163,0.0534384,0.823128,0.0560822,0.79911,0.0546276,0.882336,0.334489,0.883048,0.334717,0.898858,0.338768
0.78663,0.0537573,0.828128,0.0563999,0.80411,0.0549469,0.887336,0.335813,0.888048,0.336033,0.903858,0.340113
0.79163,0.0540775,0.833128,0.0567173,0.80911,0.0552676,0.892337,0.337137,0.893049,0.33735,0.908858,0.341458
0.79663,0.0543971,0.838128,0.0570341,0.81411,0.0555871,0.897337,0.338461,0.898049,0.338667,0.913858,0.342804
0.80163,0.0547161,0.843128,0.0573504,0.81911,0.0559067,0.902337,0.339786,0.903049,0.339984,0.918858,0.34415
0.80663,0.055036,0.848128,0.0576665,0.82411,0.0562262,0.907337,0.341111,0.908049,0.341302,0.923858,0.345498
0.81163,0.0553482,0.853128,0.0579837,0.82911,0.0565446,0.912337,0.342436,0.913049,0.34262,0.928858,0.346845
0.81663,0.0556671,0.858128,0.0582978,0.83411,0.0568637,0.917337,0.343762,0.918049,0.343938,0.933858,0.348194
0.82163,0.0559856,0.863128,0.0586129,0.83911,0.0571818,0.922337,0.345088,0.923049,0.345257,0.938858,0.349542
0.82663,0.0563046,0.868128,0.0589289,0.84411,0.0574999,0.927338,0.346415,0.928049,0.346576,0.943858,0.350892
