x,N145,N1207,N2125,x,N145,N1207,N2125,x,N145,N1207,N2125
0.642923,-0.0537153,-0.080645,-0.0917667,0.635675,-0.0525082,-0.0800456,-0.0907591,0.634608,-0.0774995,-0.0843601,-0.093049
0.647923,-0.0541699,-0.0812203,-0.0924413,0.640675,-0.0529569,-0.0806231,-0.0914355,0.639608,-0.0782051,-0.0850659,-0.0937556
0.652923,-0.0546243,-0.0817944,-0.0931159,0.645675,-0.0534056,-0.0811996,-0.0921111,0.644608,-0.0789123,-0.0857802,-0.0944651
0.657923,-0.0550788,-0.0823674,-0.0937879,0.650675,-0.0538542,-0.0817747,-0.0927845,0.649608,-0.0796187,-0.0864859,-0.0951678
0.662923,-0.0555338,-0.0829415,-0.0944637,0.655675,-0.0543031,-0.0823496,-0.0934583,0.654608,-0.0803261,-0.0871926,-0.095871
0.667923,-0.0559887,-0.0835142,-0.0951403,0.660675,-0.0547505,-0.0829207,-0.0941259,0.659608,-0.0810339,-0.0878999,-0.0965758
0.672923,-0.0564437,-0.0840861,-0.0958103,0.665675,-0.0551995,-0.083494,-0.0947979,0.664608,-0.0817422,-0.0886073,-0.0972812
0.677923,-0.0568986,-0.0846573,-0.0964837,0.670675,-0.0556483,-0.0840664,-0.0954692,0.669608,-0.0824502,-0.0893118,-0.0979832
0.682923,-0.0573527,-0.085224,-0.0971448,0.675675,-0.0560973,-0.0846376,-0.0961386,0.674608,-0.0831711,-0.090045,-0.0987335
0.687923,-0.0578079,-0.0857943,-0.0978161,0.680675,-0.0565463,-0.0852078,-0.09681,0.678775,-0.083783,-0.0906747,-0.0993659
0.692923,-0.0582627,-0.0863628,-0.0984847,0.685675,-0.0569951,-0.0857774,-0.0974768,0.679608,-0.0839809,-0.0909607,-0.0996309
0.697923,-0.0587175,-0.0869303,-0.0991519,0.690675,-0.0574442,-0.086347,-0.0981443,0.684608,-0.0847687,-0.0917889,-0.100555
0.702923,-0.0591729,-0.0874986,-0.0998216,0.695675,-0.0578934,-0.0869157,-0.0988094,0.689608,-0.0854577,-0.0924357,-0.10114
0.707923,-0.0596275,-0.0880632,-0.100485,0.700675,-0.0583421,-0.0874832,-0.0994747,0.694608,-0.0861506,-0.0930896,-0.101784
0.712923,-0.0600823,-0.0886279,-0.101155,0.705675,-0.0587913,-0.0880506,-0.100141,0.699608,-0.0868479,-0.0937612,-0.102434
0.717923,-0.0605373,-0.0891931,-0.10182,0.709841,-0.0591802,-0.0885569,-0.100738,0.704608,-0.0875453,-0.0944374,-0.103098
0.722923,-0.0609918,-0.0897559,-0.102483,0.714841,-0.0596383,-0.0891429,-0.101439,0.709608,-0.0882461,-0.0951236,-0.103776
0.727923,-0.0614468,-0.0903191,-0.103157,0.719008,-0.0600222,-0.0896339,-0.102007,0.714608,-0.0889525,-0.0958309,-0.104531
0.732923,-0.0619027,-0.0908833,-0.10382,0.724008,-0.0604754,-0.0902051,-0.102688,0.719608,-0.0896534,-0.0965257,-0.105208
0.737923,-0.0623577,-0.091446,-0.104481,0.729008,-0.0609188,-0.0907538,-0.103331,0.724879,-0.0903969,-0.0972582,-0.105932
0.742923,-0.0628118,-0.0920032,-0.105133,0.733175,-0.0613016,-0.0912404,-0.103898,0.729996,-0.091118,-0.0979701,-0.106634
0.747923,-0.0632669,-0.0925641,-0.105794,0.738175,-0.0617538,-0.0918083,-0.104573,0.735062,-0.0918372,-0.0986822,-0.107329
0.752923,-0.0637213,-0.0931222,-0.106451,0.742342,-0.0621346,-0.0922887,-0.105131,0.74011,-0.0925559,-0.0993969,-0.108031
