x,healthy,x,earlyOA,x,advOA
1.1196,2.61354,1.10069,2.53349,1.09387,2.47226
1.12911,2.6398,1.10991,2.58401,1.10295,2.52905
1.13871,2.66317,1.11929,2.61208,1.11221,2.57241
1.14839,2.68344,1.1288,2.63841,1.12162,2.59915
1.15814,2.69814,1.1384,2.66196,1.13115,2.62453
1.16793,2.71044,1.14808,2.6824,1.14077,2.64729
1.17777,2.71962,1.15782,2.69734,1.15047,2.66631
1.18764,2.72049,1.16762,2.70971,1.16023,2.68093
1.19753,2.7167,1.17746,2.71913,1.17004,2.6933
1.20745,2.70673,1.18733,2.7202,1.17988,2.70124
1.21738,2.69263,1.19722,2.71668,1.18976,2.70097
1.22733,2.66932,1.20714,2.70677,1.19966,2.69358
1.23729,2.65612,1.21707,2.69299,1.20958,2.68136
1.24725,2.69965,1.22702,2.67015,1.21952,2.6664
1.25722,2.75336,1.23698,2.65544,1.22947,2.63958
1.26676,2.80256,1.24694,2.69728,1.23943,2.66095
1.27635,2.84868,1.25691,2.7511,1.24939,2.71698
1.28602,2.89235,1.26688,2.80123,1.25937,2.76881
1.29576,2.93385,1.27686,2.8482,1.26935,2.81716
1.30555,2.97258,1.28684,2.89262,1.27933,2.86252
1.31538,3.0099,1.29682,2.93463,1.28931,2.90548
1.32524,3.0461,1.30681,2.97391,1.2993,2.9458
1.33513,3.08139,1.3168,3.01172,1.30929,2.98373
1.34503,3.11594,1.32679,3.04835,1.31928,3.02025
1.35495,3.14994,1.33678,3.08403,1.32928,3.05559
1.36489,3.18351,1.34678,3.11894,1.33927,3.08987
1.37484,3.21678,1.35677,3.15327,1.34927,3.12359
1.3848,3.24982,1.36677,3.18715,1.35926,3.15659
1.39477,3.28272,1.37676,3.22069,1.36926,3.18909
1.40474,3.31554,1.38676,3.25398,1.37926,3.22121
1.41472,3.34834,1.39676,3.28712,1.38926,3.25302
1.4247,3.38114,1.40676,3.32015,1.39925,3.28462
1.43469,3.41398,1.41676,3.35314,1.40925,3.31605
1.44468,3.44689,1.42676,3.38612,1.41925,3.34737
1.45467,3.47986,1.43675,3.41913,1.42925,3.37861
1.46466,3.51286,1.44675,3.4522,1.43925,3.40981
1.47465,3.54524,1.45675,3.4853,1.44925,3.44099
1.48465,3.57699,1.46675,3.51833,1.45925,3.47215
1.49465,3.60825,1.47675,3.55066,1.46925,3.50261
1.50464,3.64626,1.48675,3.5824,1.47925,3.53238
1.51464,3.6883,1.49675,3.61462,1.48925,3.56156
1.52464,3.73174,1.50675,3.65437,1.49925,3.59326
1.53463,3.77579,1.51675,3.69698,1.50925,3.62999
1.54463,3.82,1.52675,3.74071,1.51925,3.66913
1.55463,3.86432,1.53675,3.78485,1.52925,3.70961
1.56463,3.90822,1.54675,3.82915,1.53925,3.75091
1.57419,3.95213,1.55675,3.87307,1.54925,3.79245
1.58378,3.9947,1.56675,3.91808,1.55925,3.83382
1.59337,4.03659,1.57631,3.96085,1.56758,3.87161
1.60295,4.07844,1.58567,4.00461,1.57591,3.90783
1.61256,4.11959,1.59502,4.04356,1.58409,3.94413
1.62219,4.16023,1.60437,4.08759,1.59237,3.97899
1.63184,4.20065,1.61376,4.12556,1.60074,4.01498
1.64151,4.24155,1.62318,4.16823,1.60919,4.04958
1.65118,4.28245,1.63263,4.20619,1.61774,4.08529
1.66087,4.32252,1.64208,4.24832,1.62628,4.11881
1.67056,4.35875,1.65153,4.28748,1.63482,4.15376
1.68026,4.39445,1.66098,4.32801,1.64336,4.18816
1.68998,4.43012,1.6705,4.36175,1.65198,4.22355
1.69972,4.46598,1.68002,4.39814,1.6606,4.25796
1.70947,4.50243,1.68963,4.43229,1.66922,4.29143
1.71923,4.5365,1.69926,4.46852,1.67784,4.32017
1.72899,4.57129,1.70896,4.50309,1.68646,4.34889
1.7388,4.60311,1.71867,4.53841,1.69516,4.37597
1.74862,4.63283,1.72843,4.57183,1.70385,4.40317
1.75846,4.65963,1.7382,4.60521,1.7128,4.42983
1.7683,4.68469,1.74802,4.63339,1.72175,4.4578
1.77816,4.70277,1.75785,4.66175,1.73083,4.48217
1.78803,4.71325,1.7677,4.68554,1.73995,4.50443
1.79791,4.71771,1.77755,4.70353,1.74918,4.52305
1.80781,4.72408,1.78743,4.7131,1.7585,4.53738
1.81772,4.73292,1.79732,4.71759,1.76789,4.54706
1.82764,4.74337,1.80723,4.72445,1.77733,4.55307
1.83757,4.75266,1.81715,4.73371,1.78682,4.55248
1.84751,4.75813,1.82708,4.74414,1.79638,4.5551
1.85745,4.75976,1.83702,4.75356,1.80599,4.56071
1.8674,4.76151,1.84696,4.75869,1.81565,4.56821
1.87735,4.76283,1.85691,4.76036,1.82534,4.5717
1.8873,4.76216,1.86687,4.7624,1.83508,4.57464
1.89726,4.7738,1.87682,4.76359,1.84484,4.57548
1.90722,4.78662,1.88678,4.7629,1.85463,4.57417
1.91718,4.79865,1.89675,4.77431,1.86445,4.57296
1.92714,4.81395,1.90671,4.78748,1.87429,4.57002
1.93711,4.83375,1.91668,4.79992,1.8839,4.5747
1.94707,4.85746,1.92665,4.81562,1.89359,4.58404
1.95704,4.8849,1.93662,4.83543,1.90334,4.59573
1.96701,4.91351,1.94659,4.85916,1.91312,4.61443
1.97699,4.94547,1.95657,4.88652,1.92292,4.63484
1.98696,4.97688,1.96654,4.91476,1.93274,4.66106
1.99693,5.01386,1.97652,4.94723,1.94256,4.68966
2.00691,5.04628,1.9865,4.97777,1.9524,4.72577
2.01612,5.07415,1.99648,5.01497,1.96224,4.76083
2.02548,5.13107,2.00647,5.04532,1.97209,4.79524
2.03497,5.19044,2.01645,5.07676,1.98195,4.83222
2.04452,5.25923,2.02621,5.14241,1.99182,4.86972
2.05386,5.34652,2.03599,5.20358,2.00169,4.9391
