x,F893,x,F893,x,F893,x,F893,x,F893
1.05897,0.820295,1.0444,0.828151,1.04011,0.8503,1.6044,0.397142,1.6094,0.45716
1.0666,0.813421,1.05135,0.825262,1.0465,0.849099,1.6131,0.45748,1.61884,0.545819
1.0747,0.806515,1.05866,0.820257,1.05331,0.845426,1.62148,0.546163,1.62834,0.565215
1.08319,0.796031,1.06629,0.813398,1.0605,0.838612,1.62957,0.565601,1.63785,0.566378
1.09197,0.786456,1.07439,0.80676,1.06826,0.831484,1.63739,0.566663,1.64735,0.568042
1.101,0.776648,1.08288,0.796273,1.07646,0.821189,1.64496,0.568197,1.65686,0.570115
1.11022,0.768711,1.09166,0.786611,1.08502,0.810654,1.65231,0.569975,1.66643,0.572592
1.1196,0.759831,1.10069,0.776854,1.09387,0.797758,1.65966,0.572035,1.67604,0.575485
1.12911,0.745718,1.10991,0.768861,1.10295,0.787533,1.66701,0.574405,1.6857,0.611815
1.13871,0.729012,1.11929,0.760063,1.11221,0.775241,1.67436,0.577096,1.6954,0.629849
1.14839,0.712282,1.1288,0.748238,1.12162,0.768172,1.6817,0.580122,1.70514,0.64705
1.15814,0.689901,1.1384,0.72929,1.13115,0.752117,1.68905,0.630601,1.71489,0.663646
1.16793,0.672675,1.14808,0.712527,1.14077,0.737714,1.69654,0.634019,1.72466,0.67666
1.17777,0.640355,1.15782,0.690099,1.15047,0.71878,1.70404,0.650989,1.73303,0.689016
1.18764,0.621407,1.16762,0.672853,1.16023,0.699457,1.71153,0.666097,1.7411,0.692787
1.19753,0.593186,1.17746,0.644293,1.17004,0.68574,1.71902,0.678381,1.74891,0.698185
1.20745,0.573373,1.18733,0.621509,1.17988,0.65157,1.727,0.691171,1.75658,0.714904
1.21738,0.529826,1.19722,0.593228,1.18976,0.625424,1.73498,0.695065,1.76439,0.721101
1.22733,0.479405,1.20714,0.573378,1.19966,0.597788,1.74271,0.700706,1.77219,0.724566
1.23729,0.45509,1.21707,0.52975,1.20958,0.562651,1.75019,0.717377,1.77975,0.727142
1.24725,0.438352,1.22702,0.493882,1.21952,0.536159,1.75797,0.722361,1.78708,0.730159
1.25722,0.438716,1.23698,0.454853,1.22947,0.494341,1.76587,0.725152,1.79421,0.732428
1.26676,0.438978,1.24694,0.438072,1.23943,0.463888,1.77333,0.727924,1.80116,0.735414
1.27635,0.439249,1.25691,0.438422,1.24939,0.465534,1.78056,0.730412,1.80794,0.730693
1.28602,0.439491,1.26688,0.438674,1.25937,0.467052,1.78761,0.732871,1.81456,0.73392
1.29576,0.43971,1.27686,0.43893,1.26935,0.468435,1.79447,0.736008,1.82104,0.736725
1.30555,0.439902,1.28684,0.439161,1.27933,0.469705,1.80118,0.731056,1.82739,0.739695
1.31538,0.440074,1.29682,0.439373,1.28931,0.470863,1.80773,0.734256,1.83362,0.742188
1.32524,0.440223,1.30681,0.439559,1.2993,0.471947,1.81415,0.737206,1.83946,0.742966
1.33513,0.440356,1.3168,0.439725,1.30929,0.472976,1.82045,0.740243,1.84551,0.743675
1.34503,0.440476,1.32679,0.439869,1.31928,0.473923,1.82663,0.742848,1.85157,0.745503
1.35495,0.440589,1.33678,0.439995,1.32928,0.474798,1.83251,0.743368,1.85754,0.746825
1.36489,0.440697,1.34678,0.440109,1.33927,0.475616,1.83861,0.744151,1.86342,0.746407
1.37484,0.440802,1.35677,0.440215,1.34927,0.476365,1.84472,0.74603,1.86904,0.745422
1.3848,0.440908,1.36677,0.440316,1.35926,0.477071,1.85073,0.747297,1.87457,0.742697
1.39477,0.441016,1.37676,0.440414,1.36926,0.477732,1.85665,0.746863,1.87969,0.739449
1.40474,0.441127,1.38676,0.440512,1.37926,0.478354,1.86218,0.745772,1.8848,0.73549
1.41472,0.441243,1.39676,0.440611,1.38926,0.478944,1.86766,0.74301,1.88985,0.729786
1.4247,0.441365,1.40676,0.440714,1.39925,0.479504,1.87307,0.740281,1.8949,0.723363
1.43469,0.441493,1.41676,0.440821,1.40925,0.480041,1.87836,0.736521,1.89991,0.717559
1.44468,0.441629,1.42676,0.440933,1.41925,0.480556,1.88352,0.731004,1.90493,0.712021
1.45467,0.441771,1.43675,0.441052,1.42925,0.481054,1.88862,0.724679,1.9091,0.707074
1.46466,0.450288,1.44675,0.441178,1.43925,0.481538,1.8937,0.718814,1.9141,0.702399
1.47465,0.502687,1.45675,0.441312,1.44925,0.48201,1.89878,0.713376,1.9191,0.697943
1.48465,0.503389,1.46675,0.494951,1.45925,0.486373,1.90383,0.7083,1.9241,0.684817
1.49465,0.504288,1.47675,0.502385,1.46925,0.532665,1.90888,0.703542,1.9291,0.681099
1.50464,0.62555,1.48675,0.503106,1.47925,0.540014,1.91392,0.699137,1.9341,0.677635
1.51464,0.684143,1.49675,0.504047,1.48925,0.541183,1.91894,0.685946,1.9391,0.674403
1.52464,0.712225,1.50675,0.658074,1.49925,0.542472,1.92396,0.682207,1.9441,0.67142
1.53463,0.728452,1.51675,0.692533,1.50925,0.69104,1.92897,0.678723,1.9491,0.668596
