x,healthy,x,earlyOA
3.11152,15.1964,3.10375,15.2153
3.11672,15.2009,3.10877,15.2154
3.12191,15.2087,3.11378,15.219
3.12709,15.2192,3.11879,15.2257
3.13224,15.232,3.1238,15.235
3.13739,15.2468,3.12881,15.2465
3.14252,15.2625,3.13382,15.26
3.14764,15.2791,3.13883,15.2748
3.15275,15.2964,3.14384,15.2904
3.15785,15.3144,3.14885,15.3068
3.16294,15.3331,3.15386,15.3238
3.16802,15.3524,3.15886,15.3414
3.1731,15.3724,3.16387,15.3597
3.17817,15.3929,3.16887,15.3786
3.18323,15.414,3.17388,15.3981
3.18829,15.4331,3.17888,15.4182
3.19334,15.4533,3.18388,15.4385
3.19839,15.4749,3.18889,15.4567
3.20343,15.4973,3.19389,15.4769
3.20847,15.5203,3.19889,15.4983
3.21351,15.5436,3.2039,15.5203
3.21854,15.5671,3.2089,15.5429
3.22357,15.5909,3.2139,15.5658
3.2286,15.6148,3.2189,15.5889
3.23363,15.6364,3.22391,15.6122
3.23865,15.654,3.22891,15.6357
3.24367,15.6739,3.23391,15.6564
3.24868,15.6893,3.23891,15.6738
3.25397,15.705,3.24391,15.6937
3.25923,15.7238,3.24891,15.7091
3.26447,15.7435,3.25418,15.7246
3.26968,15.7879,3.25943,15.7428
3.2748,15.7665,3.26464,15.7619
3.27992,15.7375,3.26981,15.7997
3.28502,15.702,3.27492,15.7787
3.29011,15.674,3.28002,15.7495
3.29519,15.64,3.28511,15.7141
3.30026,15.6155,3.29019,15.686
3.30532,15.5822,3.29526,15.6519
3.31037,15.5627,3.30032,15.6273
3.31542,15.5299,3.30537,15.5939
3.32046,15.5089,3.31042,15.5741
3.3255,15.4785,3.31546,15.5411
3.33052,15.4618,3.3205,15.5241
3.33555,15.433,3.32553,15.4905
3.34057,15.4134,3.33055,15.7189
3.34657,15.3818,3.33557,15.5838
3.35247,15.3636,3.34058,15.4927
3.35819,15.3285,3.34559,15.4302
3.36376,15.3084,3.3506,15.3825
3.36925,15.2827,3.35561,15.3453
3.37469,15.2588,3.36062,15.3167
3.38009,15.2427,3.36563,15.29
3.38545,15.2173,3.37063,15.2643
3.39076,15.2041,3.37564,15.2526
3.39604,15.1829,3.38065,15.2271
3.40126,15.1633,3.38565,15.213
3.40647,15.1439,3.39066,15.1907
3.41165,15.1298,3.39566,15.1766
3.41681,15.1034,3.40066,15.1596
3.42194,15.0933,3.40567,15.143
3.42705,15.0708,3.41067,15.1216
3.43215,15.0522,3.41567,15.1105
3.43724,15.0374,3.42067,15.0869
3.4423,15.0239,3.42568,15.0727
3.44736,15.0009,3.43068,15.0558
3.45242,14.9949,3.43568,15.0406
3.45746,14.9776,3.44068,15.0198
3.4625,14.9631,3.44568,15.0104
3.46754,14.9442,3.45068,14.9924
3.47258,14.9359,3.45568,14.9788
3.47761,14.9201,3.46069,14.9688
3.48263,14.9064,3.46569,14.9533
3.48766,14.8948,3.47069,14.9399
3.49269,14.8828,3.47569,14.9246
3.49771,14.8618,3.48069,14.9138
3.50273,14.8559,3.48569,14.9034
3.50774,14.8401,3.49069,14.8861
3.51276,14.8254,3.49569,14.875
3.51777,14.808,3.50069,14.8625
3.52278,14.7996,3.50569,14.8448
3.52779,14.7851,3.51069,14.8342
3.5328,14.7732,3.51569,14.8202
3.53781,14.7595,3.52069,14.8065
3.54282,14.7484,3.52569,14.7905
3.54782,14.7298,3.53069,14.7813
3.55283,14.7241,3.53569,14.7644
3.55784,14.7099,3.54069,14.754
3.56284,14.695,3.54569,14.741
3.56784,14.6792,3.55069,14.7273
3.57201,14.6776,3.55569,14.7121
3.57701,14.6607,3.56069,14.7032
3.58201,14.6494,3.56569,14.6874
3.58701,14.6316,3.57069,14.672
3.59201,14.6288,3.57569,14.6687
3.59701,14.6137,3.58069,14.6524
3.60201,14.5997,3.58569,14.6378
3.60701,14.5834,3.59069,14.6233
3.61201,14.5724,3.59569,14.6172
3.61701,14.5603,3.60069,14.6025
3.62201,14.5486,3.60569,14.5895
3.62701,14.5366,3.61069,14.5777
3.63201,14.5252,3.61569,14.5661
3.63701,14.5137,3.62069,14.5537
3.64201,14.5023,3.62569,14.5409
3.64701,14.4911,3.63069,14.5342
3.65201,14.4799,3.63569,14.5208
3.65701,14.4689,3.64069,14.5086
3.66201,14.458,3.64569,14.4972
3.66701,14.4471,3.65069,14.4882
3.67201,14.4376,3.65569,14.4739
3.67701,14.4335,3.66069,14.4668
3.68201,14.4401,3.66569,14.4521
3.68701,14.4328,3.67069,14.4441
3.69201,14.4265,3.67569,14.4416
3.69701,14.4201,3.68069,14.4342
