x,N2249,N2571,N3057,x,N2249,N2571,N3057,x,N2249,N2571,N3057
0.710797,-0.0465419,-0.0780009,-0.102338,0.748128,-0.0485462,-0.0818631,-0.107274,0.72411,-0.0488396,-0.0788262,-0.104391
0.715797,-0.0468855,-0.0784788,-0.103018,0.753128,-0.0488894,-0.0823443,-0.107936,0.72911,-0.0491937,-0.0792904,-0.105018
0.71663,-0.0470095,-0.0787651,-0.103474,0.758128,-0.0492321,-0.0828237,-0.108588,0.73411,-0.0495518,-0.0797696,-0.105694
0.72163,-0.0473311,-0.0791378,-0.103884,0.763128,-0.0495764,-0.0833081,-0.109256,0.73911,-0.0499103,-0.0802489,-0.106361
0.72663,-0.0476657,-0.0795856,-0.104489,0.768128,-0.049919,-0.0837869,-0.109915,0.74411,-0.0502697,-0.0807303,-0.107035
0.73163,-0.0480047,-0.0800463,-0.105129,0.773128,-0.0502619,-0.0842659,-0.110571,0.74911,-0.0506293,-0.081212,-0.107702
0.73663,-0.0483449,-0.0805111,-0.105735,0.778128,-0.0506051,-0.0847454,-0.111232,0.75411,-0.0509887,-0.081693,-0.108368
0.74163,-0.0486883,-0.0809836,-0.106394,0.783128,-0.0509482,-0.0852238,-0.11189,0.75911,-0.0513451,-0.0821633,-0.109036
0.74663,-0.0490333,-0.0814596,-0.107059,0.788128,-0.0512912,-0.0857014,-0.112547,0.76411,-0.0517049,-0.0826441,-0.109705
0.75163,-0.0493791,-0.0819368,-0.107724,0.793128,-0.0516341,-0.086178,-0.1132,0.76911,-0.0520649,-0.0831249,-0.110373
0.75663,-0.0497258,-0.0824153,-0.108388,0.798128,-0.0519769,-0.0866547,-0.113856,0.77411,-0.052424,-0.0836021,-0.111037
0.76163,-0.0500726,-0.0828942,-0.10905,0.803128,-0.0523197,-0.0871304,-0.114509,0.77911,-0.052784,-0.0840825,-0.111704
0.76663,-0.0504201,-0.0833741,-0.109713,0.808128,-0.0526622,-0.0876052,-0.115161,0.78411,-0.053144,-0.0845617,-0.112368
0.77163,-0.0507674,-0.083853,-0.110375,0.813128,-0.053005,-0.0880806,-0.115815,0.78911,-0.0535036,-0.0850399,-0.113029
0.77663,-0.0511147,-0.0843313,-0.111037,0.818128,-0.053347,-0.088553,-0.11646,0.79411,-0.05386,-0.0855086,-0.113667
0.78163,-0.0514625,-0.0848105,-0.111701,0.823128,-0.0536894,-0.0890259,-0.117111,0.79911,-0.05422,-0.0859866,-0.114327
0.78663,-0.0518096,-0.0852867,-0.112359,0.828128,-0.0540316,-0.0894982,-0.11776,0.80411,-0.0545786,-0.0864595,-0.114996
0.79163,-0.0521574,-0.0857647,-0.113023,0.833128,-0.0543737,-0.0899697,-0.118407,0.80911,-0.0549384,-0.0869366,-0.11566
