x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.570797,1.03812,0.608962,1.10749,0.584944,1.06385,0.667009,1.88017,0.667661,1.88336,0.683609,1.90907
0.575797,1.0472,0.613962,1.11656,0.589944,1.07294,0.672043,1.89011,0.672702,1.8933,0.688654,1.91903
0.580797,1.05628,0.618962,1.12563,0.594944,1.08202,0.677073,1.90006,0.677738,1.90323,0.693678,1.92895
0.585797,1.06536,0.623962,1.1347,0.599944,1.0911,0.682101,1.91001,0.68277,1.91317,0.698699,1.93888
0.590797,1.07444,0.628962,1.14377,0.604944,1.10018,0.687125,1.91996,0.687798,1.92311,0.703717,1.94883
0.595797,1.08351,0.633962,1.15283,0.609944,1.10925,0.692147,1.92992,0.692824,1.93305,0.708734,1.95878
0.600797,1.09259,0.638962,1.16189,0.614944,1.11833,0.697168,1.93988,0.697848,1.943,0.713749,1.96875
0.605797,1.10166,0.643962,1.17096,0.619944,1.1274,0.702186,1.94984,0.702869,1.95294,0.718762,1.97872
0.610797,1.11073,0.648962,1.18001,0.624944,1.13647,0.707202,1.95981,0.707888,1.96289,0.723774,1.9887
0.615797,1.11979,0.653962,1.18906,0.629944,1.14554,0.712217,1.96978,0.712905,1.97285,0.728785,1.99869
0.620797,1.12886,0.658962,1.19811,0.634944,1.15461,0.717231,1.97975,0.717921,1.9828,0.733793,2.00869
0.625797,1.13792,0.663962,1.20716,0.639944,1.16367,0.722243,1.98973,0.722935,1.99276,0.738801,2.0187
0.630797,1.14698,0.668962,1.21621,0.644944,1.17273,0.727254,1.99971,0.727948,2.00273,0.743808,2.02872
0.635797,1.15603,0.673962,1.22525,0.649944,1.18178,0.732263,2.00969,0.732959,2.01269,0.748814,2.03874
0.640797,1.16509,0.678962,1.2343,0.654944,1.19084,0.737272,2.01968,0.737969,2.02266,0.75382,2.04877
0.645797,1.17414,0.683962,1.24334,0.659944,1.19989,0.742279,2.02967,0.742979,2.03263,0.758825,2.05881
0.650797,1.18319,0.688962,1.25238,0.664944,1.20895,0.747285,2.03966,0.747987,2.0426,0.763829,2.06885
0.655797,1.19224,0.693962,1.26142,0.669944,1.218,0.752291,2.04965,0.752994,2.05258,0.768832,2.07891
0.660797,1.20129,0.698962,1.27046,0.674944,1.22705,0.757296,2.05965,0.758001,2.06255,0.773835,2.08896
0.665797,1.21034,0.703962,1.2795,0.679944,1.23609,0.762301,2.06965,0.763006,2.07253,0.778838,2.09903
0.670797,1.21938,0.708962,1.28853,0.684944,1.24514,0.767305,2.07966,0.768011,2.08252,0.783841,2.1091
0.675797,1.22843,0.713128,1.29651,0.689944,1.25418,0.772308,2.08967,0.773016,2.0925,0.788843,2.11917
0.680797,1.23747,0.718128,1.3054,0.694944,1.26322,0.777312,2.09968,0.77802,2.10249,0.793845,2.12925
0.685797,1.24651,0.723128,1.31435,0.699944,1.27226,0.782315,2.10969,0.783023,2.11248,0.798846,2.13934
0.690797,1.25555,0.728128,1.32332,0.704944,1.2813,0.787317,2.11971,0.788026,2.12248,0.803848,2.14943
0.695797,1.26459,0.733128,1.33231,0.709944,1.29033,0.79232,2.12973,0.793029,2.13247,0.808849,2.15953
0.700797,1.27362,0.738128,1.3413,0.714944,1.29937,0.797322,2.13976,0.798032,2.14247,0.81385,2.16963
0.705797,1.28266,0.743128,1.3503,0.719944,1.3084,0.802324,2.14979,0.803034,2.15247,0.818851,2.17974
